# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits centroid_r centroid_phi centroid_z
412394622 7521.74602319 571.894829605 6.74125376307 606.139186925 6.74124219831 86.3259848775 2.9929379986 -262.657460616
411333670 2544.59652863 49.267777098 -0.0874880042209 51.6239440365 -0.087492061633 50.1838574748 1.48162810619 -128.73502026
411362502 9806.35759961 -107.934314492 -0.520564337238 -113.599270787 -0.520562047021 98.2050793777 -2.04935691117 -131.852427376
411362505 9594.80143482 -103.627584455 -0.41422559426 -109.066007436 -0.414209208359 98.1903692049 -1.96345694011 -133.34244384
411333678 2543.76659177 50.81163165 0.26794640544 53.2416646192 0.267948780495 50.2120398787 1.83308582627 -128.734935822
420783133 7468.52740696 140.871023917 -1.34834319601 149.305867091 -1.3483343868 86.2882583408 0.638446581828 264.147441087
420783130 7480.894879 163.229195641 -1.66839319295 173.005088393 -1.66841388327 86.2108592301 0.539254418075 262.657422338
420787426 9309.18312859 -95.4355856524 0.131654442472 -100.503908537 0.131649668414 97.0152813285 -1.44172604162 265.67245056
420783138 7349.65575078 124.958092295 -1.1033285967 132.440282899 -1.10332224687 86.3247742454 0.737809683508 262.657366153
412132542 7576.98828836 -84.8351242191 -0.148344924635 -89.9150171045 -0.148337097609 86.1745359877 -1.71919559159 -219.276443582
411853926 3235.8368471 -85.049943701 -1.17085014983 -88.6641469699 -1.17085168556 56.3645230265 -2.43485959395 -182.894900853
411853922 3146.44138985 -105.714599241 -1.63186128385 -110.206661989 -1.6318562597 56.4111603616 -2.59063958805 -184.770026141
420000773 4726.29964008 1105.04971826 -16.5317836806 1188.15266624 -16.5300921431 68.9987588829 0.0608089992549 154.14746634
411325558 1780.26929943 -64.6038483603 1.21850049151 -68.3040815385 1.21851061633 41.9786957488 -0.686637218021 -128.734973378
411325550 1792.40338464 -46.4715182906 0.534506405884 -49.1331189369 0.53451361658 42.0496251152 -1.08075849132 -128.734972321
